date,discharge
2/9/1989,6.03216
2/10/1989,5.83392
2/11/1989,5.91888
2/12/1989,6.48528
2/13/1989,5.4162
2/14/1989,5.39496
2/15/1989,6.71184
2/16/1989,6.14544
2/17/1989,5.69232
2/18/1989,5.664
2/19/1989,5.9472
2/20/1989,6.32952
2/21/1989,7.15788
2/22/1989,6.7968
2/23/1989,6.13836
2/24/1989,5.841
2/25/1989,6.75432
2/26/1989,8.30484
2/27/1989,10.1952
2/28/1989,11.85192
2/1/1990,5.9472
2/2/1990,6.20208
2/3/1990,6.11712
2/4/1990,6.06048
2/5/1990,6.06048
2/6/1990,5.89056
2/7/1990,5.9472
2/8/1990,5.8056
2/9/1990,5.57904
2/10/1990,5.49408
2/11/1990,5.43744
2/12/1990,5.3808
2/13/1990,5.18256
2/14/1990,5.32416
2/15/1990,5.664
2/16/1990,5.72064
2/17/1990,5.69232
2/18/1990,5.69232
2/19/1990,6.31536
2/20/1990,6.57024
2/21/1990,6.54192
2/22/1990,6.34368
2/23/1990,6.20208
2/24/1990,6.06048
2/25/1990,6.06048
2/26/1990,6.0888
2/27/1990,5.97552
2/28/1990,5.83392
2/1/1991,5.86224
2/2/1991,5.89056
2/3/1991,5.89056
2/4/1991,5.86224
2/5/1991,5.8056
2/6/1991,5.55072
2/7/1991,5.664
2/8/1991,5.63568
2/9/1991,5.63568
2/10/1991,5.57904
2/11/1991,5.5224
2/12/1991,5.60736
2/13/1991,5.43744
2/14/1991,5.35248
2/15/1991,5.18256
2/16/1991,5.21088
2/17/1991,4.89936
2/18/1991,4.70112
2/19/1991,4.55952
2/20/1991,4.36128
2/21/1991,4.19136
2/22/1991,3.87984
2/23/1991,3.85152
2/24/1991,4.07808
2/25/1991,4.58784
2/26/1991,4.27632
2/27/1991,4.19136
2/28/1991,5.0976
2/1/1992,6.03216
2/2/1992,6.11712
2/3/1992,6.41448
2/4/1992,6.73308
2/5/1992,6.88176
2/6/1992,6.88176
2/7/1992,7.3278
2/8/1992,7.66764
2/9/1992,14.35824
2/10/1992,19.49832
2/11/1992,39.7188
2/12/1992,46.728
2/13/1992,60.3216
2/14/1992,176.0796
2/15/1992,92.6064
2/16/1992,49.7016
2/17/1992,32.2848
2/18/1992,28.2492
2/19/1992,21.4524
2/20/1992,17.48052
2/21/1992,17.26812
2/22/1992,21.21876
2/23/1992,25.2756
2/24/1992,24.426
2/25/1992,17.65044
2/26/1992,14.6556
2/27/1992,13.19004
2/28/1992,12.65904
2/29/1992,12.34044
2/1/1993,45.666
2/2/1993,33.7716
2/3/1993,24.2136
2/4/1993,20.96388
2/5/1993,18.07524
2/6/1993,15.7176
2/7/1993,14.0184
2/8/1993,15.42024
2/9/1993,405.684
2/10/1993,314.352
2/11/1993,161.2116
2/12/1993,94.3056
2/13/1993,63.9324
2/14/1993,43.1172
2/15/1993,41.6304
2/16/1993,34.8336
2/17/1993,27.1872
2/18/1993,23.1516
2/19/1993,107.6868
2/20/1993,1295.64
2/21/1993,424.8
2/22/1993,164.3976
2/23/1993,84.96
2/24/1993,54.5868
2/25/1993,41.2056
2/26/1993,33.984
2/27/1993,30.3732
2/28/1993,28.8864
2/1/1994,6.372
2/2/1994,6.31536
2/3/1994,6.28704
2/4/1994,6.42864
2/5/1994,6.45696
2/6/1994,6.40032
2/7/1994,6.62688
2/8/1994,6.07464
2/9/1994,6.903
2/10/1994,6.73308
2/11/1994,6.32952
2/12/1994,5.9472
2/13/1994,5.54364
2/14/1994,5.35248
2/15/1994,5.28876
2/16/1994,5.26752
2/17/1994,5.64984
2/18/1994,6.94548
2/19/1994,8.83584
2/20/1994,8.04996
2/21/1994,6.86052
2/22/1994,6.35076
2/23/1994,6.13836
2/24/1994,5.96844
2/25/1994,5.79852
2/26/1994,5.69232
2/27/1994,5.54364
2/28/1994,6.22332
2/1/1995,9.15444
2/2/1995,22.302
2/3/1995,26.7624
2/4/1995,25.7004
2/5/1995,23.1516
2/6/1995,20.709
2/7/1995,18.54252
2/8/1995,16.992
2/9/1995,15.2928
2/10/1995,14.4432
2/11/1995,13.12632
2/12/1995,11.55456
2/13/1995,10.42884
2/14/1995,154.6272
2/15/1995,966.42
2/16/1995,278.244
